rivers,lat,lon, low, Mid, up
Changjiang,31.5,122,6084.81 ,14994.68 ,29041.93 
Brahmaputra,29.4,94.5,5055.12 ,9307.25 ,15708.36 
Ganges,22,88,3848.23 ,7078.98 ,11908.99 
Vaippar,9,78.1,2958.86 ,5615.67 ,9665.78 
Amazon,-1,-51.2,2029.97 ,5146.70 ,10088.78 
Bekasi,-6.2,106.9,1688.42 ,3457.55 ,6225.07 
Vaigai,9.3,78.1,1755.55 ,3337.38 ,5732.00 
Mekong,9.3,105,1511.95 ,3126.77 ,5620.56 
Irrawaddy,16.5,96.1,1646.06 ,2977.83 ,4954.73 
Congo,-6,12.3,1501.43 ,2621.52 ,4201.05 
Magdalena,10.4,-74.7,986.05 ,2375.47 ,4558.90 
Zhujiang,22.8,113.6,823.24 ,2007.72 ,3896.13 
Paraná,-34.6,-58.4,483.20 ,2002.30 ,4510.61 
Meghna,22,90.5,1059.87 ,1949.55 ,3288.06 
Shatt el Arab,30.5,48.2,1116.47 ,1933.90 ,3070.05 
Orinoco,8.5,-62,1029.08 ,1889.45 ,3194.13 
Rhine,51.9,4,176.94 ,1839.68 ,5605.74 
Ilog,11,122.7,796.12 ,1656.69 ,2996.94 
Amur,53.3,140.8,645.32 ,1560.39 ,3007.99 
Volga,46.7,47.7,578.25 ,1403.90 ,2709.07 
Danube,45.2,29.6,384.29 ,1390.36 ,3030.12 
Mississippi,29.2,-89.3,127.13 ,1265.90 ,3776.67 
Niger,6.4,3.4,685.05 ,1219.90 ,1993.50 
Citarum,-6.4,107,573.43 ,1174.99 ,2119.88 
Porong,-7.4,112.7,506.94 ,1042.49 ,1885.08 
Bengawan Solo,-6.9,110.7,487.51 ,1001.62 ,1805.01 
Karun,31,48,298.85 ,977.76 ,2060.89 
Song Hong,20.8,106.7,427.42 ,879.82 ,1586.77 
Musi,-2.9,104.7,414.45 ,846.55 ,1528.02 
Pampanga,15,120.7,350.99 ,726.51 ,1317.97 
Tanshui,25.2,121.5,284.19 ,696.54 ,1351.41 
Sai Gon,10.8,106.7,328.65 ,674.88 ,1214.04 
Nahualate,14.1,-91.3,349.23 ,667.50 ,1159.21 
Esmeraldas,0.9,-79.7,358.30 ,653.42 ,1091.16 
Salween,16.5,97.4,343.80 ,622.90 ,1035.86 
Progo,-7.9,110.2,301.02 ,618.90 ,1117.35 
Guayas,-2.2,-79.9,323.44 ,589.28 ,988.30 
Grande de Tarcoles ,9.767,-84.698,167.21 ,528.03 ,1102.53 
Angat,14.9,120.9,254.63 ,527.77 ,955.94 
Sittang,17.3,96.3,286.40 ,514.53 ,854.42 
Ob',66.5,66.6,198.23 ,482.89 ,933.80 
Chao Phraya,13.6,100.5,192.02 ,477.42 ,928.73 
Elbe,53.5,8.7,44.36 ,469.80 ,1444.52 
Paraiba do Sul,-21.6,-41,178.53 ,453.45 ,886.04 
Neva,59.9,30.2,180.62 ,437.06 ,848.39 
Cagayan,18.5,121.7,209.44 ,433.83 ,787.58 
Qiantangjiang,29.8,121.7,161.82 ,398.19 ,770.48 
Rhone,43.7,4.8,38.42 ,391.24 ,1166.14 
Minjiang,26,119.3,156.85 ,383.53 ,744.55 
Haihe,39,117.8,157.06 ,383.28 ,742.01 
Han,37.5,126.6,43.39 ,378.71 ,1067.11 
Cimanuk,-6.3,108.4,167.64 ,343.96 ,613.52 
Copper,60.5,-145,33.95 ,341.93 ,1024.64 
Citanduy,-7.7,108.6,159.05 ,326.57 ,587.79 
Po,44.8,12.4,45.28 ,324.27 ,851.30 
Godavari,16.9,81.9,166.01 ,314.51 ,540.42 
Tocantins,-2.8,-49.5,123.63 ,311.06 ,611.13 
St. Lawrence,48,-69.7,30.31 ,307.25 ,920.77 
Yodo,34.7,135.5,33.80 ,306.07 ,877.16 
Cross,4.6,8.3,161.25 ,286.67 ,468.65 
Mindanao,7.1,125,133.54 ,275.30 ,498.74 
Weser,53.2,8.6,24.65 ,268.97 ,830.08 
Doce,-19.6,-39.8,100.38 ,254.42 ,498.40 
Columbia,46.3,-124.1,25.31 ,253.52 ,755.45 
Delaware,39.6,-75.5,25.14 ,252.77 ,754.81 
Usumacinta,18.4,-91.5,90.86 ,248.22 ,498.47 
Hanjiang,30.5,114.3,100.85 ,246.79 ,479.76 
Xiaoqinghe,37.4,118.6,95.10 ,234.36 ,454.77 
Mobile,30.7,-88,22.85 ,229.19 ,686.80 
Maas,51.9,4.2,20.79 ,223.05 ,680.27 
Oujiang,28,120.7,90.10 ,222.60 ,432.81 
Sa? Francisco,-11,-41,85.68 ,216.73 ,423.51 
Thai Binh,20.3,106.6,104.85 ,215.97 ,389.57 
Yuna,19.1,-69.4,96.29 ,206.92 ,380.99 
Ogun,6.9,3.4,112.74 ,199.49 ,325.80 
Jacuí,-30,-51.2,78.50 ,198.05 ,387.99 
Tapi,21.1,72.7,79.48 ,197.48 ,383.60 
Patia,2.6,-77.3,77.78 ,186.44 ,358.12 
Uruguay,-34.4,-57.9,44.42 ,185.17 ,416.33 
Agusan,8.4,125.5,88.07 ,183.14 ,331.15 
Hudson,40.7,-74,18.29 ,182.53 ,544.47 
Bangpakhlong,13.7,100.9,72.14 ,179.62 ,350.92 
Hari,36.7,62.2,87.22 ,179.28 ,323.19 
Susquehanna,39.6,-76.5,17.36 ,172.28 ,514.45 
Taedong,38.9,125.4,62.43 ,164.62 ,326.31 
Duwamish,47.5,-122.3,16.69 ,164.14 ,493.18 
Nile,30,31.2,79.48 ,163.34 ,294.30 
Tjipunagara,-6.5,108.2,78.81 ,162.52 ,293.92 
Purari,-7.6,145.2,91.35 ,162.17 ,266.49 
Tuy,10.4,-66.9,86.50 ,159.68 ,270.57 
Lempa,13.4,-89.2,79.29 ,156.93 ,277.63 
Nakdong,35.1,128.9,17.67 ,154.99 ,434.50 
Colorado,32.7,-114.7,36.73 ,154.17 ,346.74 
Kapuas,-0.1,109,74.87 ,152.75 ,275.53 
Mahanadi,20.3,86.8,80.68 ,152.61 ,263.60 
