river_lat,river_lon,orig_lat_idx,orig_lon_idx,proj_lat_idx,proj_lon_idx,shift_grid,emission
31.5,122.0,55,61,55,61,0.0,14994.68
29.4,94.5,54,47,50,45,4.47213595499958,9307.25
22.0,88.0,50,44,50,44,0.0,7078.98
9.0,78.1,44,39,44,39,0.0,5615.67
-1.0,-51.2,39,0,39,0,0.0,5146.7
-6.2,106.9,36,53,36,53,0.0,3457.55
9.3,78.1,44,39,44,39,0.0,3337.38
9.3,105.0,44,52,44,52,0.0,3126.77
16.5,96.1,48,48,48,47,1.0,2977.83
-6.0,12.3,37,6,37,5,1.0,2621.52
10.4,-74.7,45,0,43,1,2.23606797749979,2375.47
22.8,113.6,51,57,50,57,1.0,2007.72
-34.6,-58.4,22,0,22,0,0.0,2002.3
22.0,90.5,50,45,50,45,0.0,1949.55
30.5,48.2,55,24,52,28,5.0,1933.9
8.5,-62.0,44,0,43,1,1.4142135623730951,1889.45
51.9,4.0,65,2,66,2,1.0,1839.68
11.0,122.7,45,61,45,61,0.0,1656.69
53.3,140.8,66,70,67,70,1.0,1560.39
6.4,3.4,43,2,43,1,1.0,1219.9
-6.4,107.0,36,53,36,53,0.0,1174.99
-7.4,112.7,36,56,37,56,1.0,1042.49
-6.9,110.7,36,55,37,55,1.0,1001.62
31.0,48.0,55,24,52,28,5.0,977.76
20.8,106.7,50,53,49,53,1.0,879.82
-2.9,104.7,38,52,39,52,1.0,846.55
15.0,120.7,47,60,47,60,0.0,726.51
25.2,121.5,52,61,52,61,0.0,696.54
10.8,106.7,45,53,44,53,1.0,674.88
14.1,-91.3,46,0,43,1,3.1622776601683795,667.5
0.9,-79.7,40,0,40,0,0.0,653.42
16.5,97.4,48,49,47,48,1.4142135623730951,622.9
-7.9,110.2,36,55,37,55,1.0,618.9
-2.2,-79.9,38,0,38,0,0.0,589.28
9.767,-84.698,44,0,43,1,1.4142135623730951,528.03
14.9,120.9,47,60,47,60,0.0,527.77
17.3,96.3,48,48,48,47,1.0,514.53
13.6,100.5,46,50,45,50,1.0,477.42
53.5,8.7,66,4,67,3,1.4142135623730951,469.8
-21.6,-41.0,29,0,29,0,0.0,453.45
59.9,30.2,69,15,72,18,4.242640687119285,437.06
18.5,121.7,49,61,49,61,0.0,433.83
29.8,121.7,54,61,54,61,0.0,398.19
43.7,4.8,61,2,66,2,5.0,391.24
26.0,119.3,52,60,53,60,1.0,383.53
39.0,117.8,59,59,59,60,1.0,383.28
37.5,126.6,58,63,58,62,1.0,378.71
-6.3,108.4,36,54,37,54,1.0,343.96
60.5,-145.0,69,0,69,0,0.0,341.93
-7.7,108.6,36,54,37,54,1.0,326.57
44.8,12.4,62,6,66,2,5.656854249492381,324.27
16.9,81.9,48,41,48,41,0.0,314.51
-2.8,-49.5,38,0,38,0,0.0,311.06
48.0,-69.7,63,0,66,1,3.1622776601683795,307.25
34.7,135.5,57,68,57,69,1.0,306.07
4.6,8.3,42,4,41,4,1.0,286.67
7.1,125.0,43,62,43,61,1.0,275.3
53.2,8.6,66,4,67,3,1.4142135623730951,268.97
-19.6,-39.8,30,0,30,0,0.0,254.42
46.3,-124.1,62,0,66,1,4.123105625617661,253.52
39.6,-75.5,59,0,66,1,7.0710678118654755,252.77
18.4,-91.5,49,0,43,1,6.082762530298219,248.22
30.5,114.3,55,57,53,60,3.605551275463989,246.79
37.4,118.6,58,59,57,60,1.4142135623730951,234.36
51.9,4.2,65,2,66,2,1.0,223.05
28.0,120.7,53,60,53,60,0.0,222.6
-11.0,-41.0,34,0,34,0,0.0,216.73
20.3,106.6,50,53,49,53,1.0,215.97
19.1,-69.4,49,0,43,1,6.082762530298219,206.92
6.9,3.4,43,2,43,1,1.0,199.49
-30.0,-51.2,25,0,25,0,0.0,198.05
21.1,72.7,50,36,49,35,1.4142135623730951,197.48
2.6,-77.3,41,0,41,0,0.0,186.44
-34.4,-57.9,23,0,23,0,0.0,185.17
8.4,125.5,44,63,44,63,0.0,183.14
40.7,-74.0,60,0,66,1,6.082762530298219,182.53
13.7,100.9,46,50,45,50,1.0,179.62
36.7,62.2,58,31,52,31,6.0,179.28
39.6,-76.5,59,0,66,1,7.0710678118654755,172.28
38.9,125.4,59,63,59,64,1.0,164.62
47.5,-122.3,63,0,66,1,3.1622776601683795,164.14
-6.5,108.2,36,54,37,54,1.0,162.52
-7.6,145.2,36,73,37,73,1.0,162.17
10.4,-66.9,45,0,43,1,2.23606797749979,159.68
13.4,-89.2,46,0,43,1,3.1622776601683795,156.93
35.1,128.9,57,64,57,64,0.0,154.99
-0.1,109.0,39,54,39,54,0.0,152.75
20.3,86.8,50,43,50,43,0.0,152.61
-18.0,33.0,31,16,29,17,2.23606797749979,149.33
54.4,18.9,66,9,68,5,4.47213595499958,148.51
22.0,88.2,50,44,50,44,0.0,147.46
10.2,-84.7,45,0,43,1,2.23606797749979,145.25
19.7,-70.6,49,0,43,1,6.082762530298219,144.67
16.1,120.2,47,60,47,60,0.0,142.19
44.3,0.2,61,0,66,1,5.0990195135927845,135.74
-0.4,103.6,39,52,39,52,0.0,132.07
20.6,86.8,50,43,50,43,0.0,130.21
18.6,106.4,49,53,49,53,0.0,125.97
49.0,2.3,64,1,66,1,2.0,125.76
48.7,-4.2,64,0,66,1,2.23606797749979,123.77
24.2,70.3,51,35,50,34,1.4142135623730951,122.45
18.3,-95.9,49,0,43,1,6.082762530298219,122.26
51.5,0.1,65,0,66,1,1.4142135623730951,121.66
10.0,-83.8,44,0,43,1,1.4142135623730951,121.28
8.8,99.4,44,50,44,50,0.0,120.82
39.2,118.8,59,59,59,60,1.0,120.06
15.7,-87.5,47,0,43,1,4.123105625617661,117.37
24.0,67.0,51,33,51,33,0.0,115.26
40.4,-7.8,59,0,66,1,7.0710678118654755,115.01
69.6,161.0,74,80,70,79,4.123105625617661,114.87
22.7,120.5,51,60,51,60,0.0,112.22
6.9,79.9,43,40,43,40,0.0,112.09
-1.5,-49.9,39,0,39,0,0.0,111.96
15.7,-88.6,47,0,43,1,4.123105625617661,111.9
13.5,-83.7,46,0,43,1,3.1622776601683795,111.37
43.2,141.3,61,71,61,72,1.0,110.8
4.2,100.6,42,50,42,49,1.0,109.21
-33.6,-71.6,23,0,23,0,0.0,108.84
12.7,-85.8,46,0,43,1,3.1622776601683795,106.73
10.8,79.8,45,40,45,40,0.0,105.7
34.4,109.0,56,54,50,54,6.0,104.71
41.3,-72.6,60,0,66,1,6.082762530298219,102.78
23.1,116.4,51,58,51,58,0.0,102.43
18.7,105.8,49,53,49,53,0.0,99.78
53.5,-3.0,66,0,67,0,1.0,99.64
42.8,-70.8,61,0,66,1,5.0990195135927845,98.53
47.2,39.0,63,19,72,19,9.0,98.03
