Date,Longitude,Latitude,MP
2012-03-01,-107,-27,-3.822032688
2013-02-01,-64,-49.5,-3.821075739
1998-08-01,-72,40.5,-3.522878745
2011-11-01,-57.5,15,-3.522878745
2012-05-01,-65,21.5,-3.522878745
2012-04-01,-60.5,17.5,-3.522878745
2011-03-01,-61.5,19.5,-3.52287798
2011-11-01,-57.5,14,-3.52287649
2011-07-01,-68.5,41,-3.522512828
2011-02-01,-79.5,25.5,-3.50537262
2011-06-01,-74,37.5,-3.45164209
2005-03-01,-147.5,12.5,-3.445797476
2010-10-01,-134,12,-3.420803618
2014-06-01,10.5,77.5,-3.407823243
2006-12-01,-120,8,-3.400122411
1999-12-01,-62,12,-3.397940009
2009-09-01,-69.5,43.5,-3.397940009
1999-12-01,-69,12.5,-3.397940009
2010-09-01,-68,43,-3.397940009
2011-06-01,-74,35.5,-3.397940009
2010-10-01,-61.5,34,-3.397940009
2012-10-01,-58.5,33,-3.397940009
2010-11-01,-59.5,14,-3.397940005
2012-11-01,-59.5,12,-3.397939388
2010-11-01,-59,15.5,-3.397812042
2010-10-01,-58.5,31.5,-3.396768906
2012-02-01,-84.5,26,-3.396544538
2005-04-01,-155.5,8.5,-3.387733409
2012-12-01,-78.5,19,-3.375536256
2008-06-01,-144,4,-3.369057437
2010-12-01,-69.5,17,-3.352716006
2012-11-01,-58,17,-3.347421789
2010-01-01,-83.5,24.5,-3.330458203
2011-10-01,-56,23.5,-3.321713896
2009-02-01,-142,-10,-3.320302942
2003-12-01,-62,15.5,-3.306180464
2008-04-01,-157.5,8.5,-3.304179648
2011-02-01,-79.5,26.5,-3.303405209
2011-08-01,-119,33.5,-3.301377709
1998-12-01,-68.5,12,-3.301029996
2010-09-01,-70,42.5,-3.301029996
1999-04-01,-78,26,-3.301029996
1999-11-01,-60,13,-3.301029996
1998-11-01,-61,12.5,-3.301029996
1999-02-01,-69,19.5,-3.301029996
1999-03-01,-80,25,-3.301029996
1999-10-01,-71,41,-3.301029996
1998-12-01,-63.5,11,-3.301029996
1998-04-01,-76.5,26.5,-3.301029996
1999-12-01,-61.5,14,-3.301029996
1999-02-01,-80.5,24.5,-3.301029996
1999-03-01,-80,28.5,-3.301029996
1999-12-01,-62,15.5,-3.301029996
1998-07-01,-62,44.5,-3.301029996
1999-07-01,-63,44,-3.301029996
2012-06-01,-69.5,42.5,-3.301029996
1998-03-01,-80,24.5,-3.301029996
1999-11-01,-60,12.5,-3.301029996
1998-03-01,-70.5,20.5,-3.301029996
1999-07-01,-70,40.5,-3.301029996
1999-03-01,-79.5,28,-3.301029996
1999-03-01,-80.5,24,-3.301029996
2009-12-01,-80.5,19,-3.301029996
1998-07-01,-59,46.5,-3.301029996
1999-12-01,-62.5,15.5,-3.301029996
1998-07-01,-69.5,40.5,-3.301029996
1999-03-01,-78,17,-3.301029996
1998-11-01,-59.5,11,-3.301029996
1998-02-01,-74.5,19,-3.301029996
1998-12-01,-78.5,19.5,-3.301029996
1998-11-01,-60.5,17.5,-3.301029996
2012-11-01,-59,12,-3.301029996
1998-12-01,-63,12,-3.301029996
1998-11-01,-60,15.5,-3.301029996
